_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
148,Campina Grande,Educação,Escola Poeta Carlos Drumond de Andrade,"R. Caicó - Malvinas, Campina Grande - PB, 58433-496",-7.23051164,-35.92715374
149,Campina Grande,Educação,"ECI Monte Carmelo
","R. Prof. Carlos Francisco Medeiros de Almeida, s/n - Centenário, Campina Grande - PB, 58428-158",-7.21979032,-35.90352240
150,Campina Grande,Educação,Escola Estadual de Ensino Fundamental e Médio Assis Chateaubriand,"R. Paraíba, 240 - Liberdade, Campina Grande - PB, 58410-066",-7.21534200,-35.86788293
151,Campina Grande,Educação,Escola Normal Estadual Padre Emídio Viana Correia,"Av. Pref. Severino Bezerra Cabral, s/n - Catolé, Campina Grande - PB, 58410-185",-7.22905111,-35.87337609
152,Campina Grande,Educação,"EEEF SENADOR HUMBERTO LUCENA
","R. Marcelino Pereira da Rocha, 9 - Cruzeiro, Campina Grande - PB, 58415-483",-7.25283785,-35.90450709
153,Campina Grande,Educação,"ECI Félix Araújo - Estadual da Liberdade
","R. Severino Pímentel - Liberdade, Campina Grande - PB, 58414-150",-7.24204355,-35.89369064
154,Campina Grande,Educação,Escola Cidadã Integral Severino Cabral,"Rua Compositor Noel Rosa - Bodocongó, Campina Grande - PB, 58430-220",-7.22521964,-35.91938749
155,Campina Grande,Educação,"Escola Estadual Augusto dos Anjos
","R. Paraíba, 240 - Liberdade, Campina Grande - PB, 58410-066",-7.23174077,-35.88759666
156,Campina Grande,Educação,"Colégio Estadual da Prata
","R. Duque de Caxias - Prata, Campina Grande - PB",-7.21986197,-35.89851746
157,Campina Grande,Educação,Escola Estadual de Ensino Fundamental e Médio Sen. Argemiro de Figueiredo ,"Av. Dr. Elpídio de Almeida, 25 - Catolé, Campina Grande - PB, 58410-215",-7.23748811,-35.87494762
158,Campina Grande,Educação,"ECI PROF RAUL CORDULA
","R. Gabio José de Oliveira Araujo, S/Nº - Pres. Medici, Campina Grande - PB, 58415-565",-7.25135005,-35.90629821
159,Campina Grande,Educação,Escola Estadual de 1º Grau do Monte Santo,"R. Antônieta Cavalcante, 57 - Monte Santo, Campina Grande - PB, 58400-752",-7.21081875,-35.89988914
160,Campina Grande,Educação,"E.E.E.F. Dom Helder Camara
","R. Lucioneia Maria da Conceição - Santa Cruz, Campina Grande - PB, 58417-000",-7.23933837,-35.90966623
161,Campina Grande,Educação,"EEEFM Professor Antônio Oliveira
","R. Alberto Santos, S/N - Santa Rosa, Campina Grande - PB, 58416-690",-7.23997212,-35.91222160
162,Campina Grande,Educação,EEEFM DOM LUIZ GONZAGA FERNANDES,"R. das Pitombeiras, SN - Malvinas, Campina Grande - PB, 58432-791",-7.24143973,-35.92623132
163,Campina Grande,Educação,"EEEF ALCEU DO AMOROSO LIMA
","R. Conceição B Santiago, SN - Malvinas, Campina Grande - PB, 58432-685",-7.24693162,-35.92683213
164,Campina Grande,Educação,Escola Estadual Maria Emília O. de Almeida,"R. Dr. Francisco Brasileiro, s/n - Pres. Medici, Campina Grande - PB, 58417-455",-7.24885369,-35.91098350
165,Campina Grande,Educação,ECI Deputado Álvaro Gaudêncio de Queiroz,"R. dos Jucáis, 39 - Malvinas, Campina Grande - PB, 58432-599",-7.24506473,-35.92154067
166,Campina Grande,Educação,"EEEF MURILO BRAGA
","R. Santa Filomena, S/N - Liberdade, Campina Grande - PB, 58414-020",-7.22913663,-35.89280114
167,Campina Grande,Educação,"Escola Estadual Jose Miguel Leao
","R. João Miguel Leão - São José da Mata, Campina Grande - PB",-7.18037121,-35.98758192
